"","stock_prices","k","call","put","call_up_and_in","call_down_and_in","call_up_and_out","call_down_and_out","put_up_and_in","put_down_and_in","put_up_and_out","put_down_and_out"
"1",111.41,90,34.3194869576856,7.16126474393139,34.1611152581249,34.3718600788403,0.210744820715405,-7.105427357601e-15,4.27592728699952,7.21363786508597,2.93771057808645,3.5527136788005e-15
"2",111.41,95,31.2711353815455,8.79356748924939,30.8567141653602,30.9864418099845,0.129727644624255,0,5.08702425553146,8.50887391768825,3.42184966215678,-3.5527136788005e-15
"3",111.41,100,28.228184445494,10.4312708746559,27.6982363431343,27.7686481163699,0.0704117732355714,0,6.01974714835017,9.97173454553179,3.95198739718161,1.4210854715202e-14
"4",111.41,105,25.2780522661815,12.1617930168015,24.7849194853313,24.815810749397,0.030891264065664,-1.4210854715202e-14,7.15993065960101,11.6995515000169,4.53962084041591,0
"5",111.41,110,22.2675835458075,13.8319786178856,21.9789794139403,21.9885723947491,0.00959298080883231,7.105427357601e-15,8.3969312854253,13.5529674668272,5.1560361814019,1.4210854715202e-14
"6",111.41,115,19.3167000053989,15.5617493989351,19.4110025582746,19.4122421568434,0.00123959856881876,-7.105427357601e-15,9.84405591284793,15.6572915503796,5.8132356375317,-1.4210854715202e-14
"7",111.41,120,16.6227290388333,17.5484327538276,17.0393640042452,17.0393640042452,1.33226762955019e-14,7.105427357601e-15,11.4686684390011,17.9650677192394,6.49639928023835,4.2632564145606e-14
